scientific_name,longitude,latitude
Lobodon carcinophaga,-28.714415,-74.74102
Lobodon carcinophaga,-29.327831,-74.379616
Lobodon carcinophaga,-28.687593,-74.48745
Lobodon carcinophaga,-29.55949,-74.796219
Lobodon carcinophaga,-29.578966,-74.828354
Lobodon carcinophaga,-29.620644,-74.905533
Lobodon carcinophaga,-29.635983,-74.939621
Lobodon carcinophaga,-29.644125,-74.951462
Lobodon carcinophaga,-29.640593,-74.94603
Lobodon carcinophaga,-29.65247,-74.968056
Lobodon carcinophaga,-29.685837,-75.039726
Lobodon carcinophaga,-30.297546,-75.074829
Lobodon carcinophaga,-30.240166,-74.935982
Lobodon carcinophaga,-30.188629,-74.807503
Lobodon carcinophaga,-30.154366,-74.733963
Lobodon carcinophaga,-30.10198,-74.588203
Lobodon carcinophaga,-30.074785,-74.506912
Lobodon carcinophaga,-30.062464,-74.471466
Lobodon carcinophaga,-30.041523,-74.422592
Lobodon carcinophaga,-30.038773,-74.416061
Lobodon carcinophaga,-30.036335,-74.410316
Lobodon carcinophaga,-30.726027,-74.196823
Lobodon carcinophaga,-30.731422,-74.260521
Lobodon carcinophaga,-30.731352,-74.267349
Lobodon carcinophaga,-30.73377,-74.29615
Lobodon carcinophaga,-30.733694,-74.303329
Lobodon carcinophaga,-30.73654,-74.339691
Lobodon carcinophaga,-30.774416,-74.80368
Lobodon carcinophaga,-30.791367,-74.879272
Lobodon carcinophaga,-31.532263,-74.70504
Lobodon carcinophaga,-31.487514,-74.522774
Lobodon carcinophaga,-36.019581,-74.923416
Lobodon carcinophaga,-36.002174,-74.841713
Lobodon carcinophaga,-36.000755,-74.8368
Lobodon carcinophaga,-35.98177,-74.777023
Lobodon carcinophaga,-35.977978,-74.762077
Lobodon carcinophaga,-35.96648,-74.723007
Lobodon carcinophaga,-35.930626,-74.585609
Lobodon carcinophaga,-35.929417,-74.581429
Lobodon carcinophaga,-35.927559,-74.571136
Lobodon carcinophaga,-35.903294,-74.478073
Lobodon carcinophaga,-35.895924,-74.460869
Lobodon carcinophaga,-36.704395,-74.205048
Lobodon carcinophaga,-36.711819,-74.240417
Lobodon carcinophaga,-36.712643,-74.242508
Lobodon carcinophaga,-36.715382,-74.252464
Lobodon carcinophaga,-36.721764,-74.277878
Lobodon carcinophaga,-36.74313,-74.359222
Lobodon carcinophaga,-36.749741,-74.378983
Lobodon carcinophaga,-36.781773,-74.476204
Lobodon carcinophaga,-36.785606,-74.485107
Lobodon carcinophaga,-36.787117,-74.490059
Lobodon carcinophaga,-36.791267,-74.504959
Lobodon carcinophaga,-35.088097,-74.280914
Lobodon carcinophaga,-35.100864,-74.320267
Lobodon carcinophaga,-35.102737,-74.343987
Lobodon carcinophaga,-35.103073,-74.347496
Lobodon carcinophaga,-35.102737,-74.343987
Lobodon carcinophaga,-35.112534,-74.382988
Lobodon carcinophaga,-35.876953,-74.378395
Lobodon carcinophaga,-35.85656,-74.321556
Lobodon carcinophaga,-35.843792,-74.278389
Lobodon carcinophaga,-35.838009,-74.250801
Lobodon carcinophaga,-35.838009,-74.250801
Lobodon carcinophaga,-35.800117,-74.178146
Lobodon carcinophaga,-33.680023,-73.912811
Lobodon carcinophaga,-33.694214,-73.989761
Lobodon carcinophaga,-33.721542,-74.191559
Lobodon carcinophaga,-33.721542,-74.191559
Lobodon carcinophaga,-33.723278,-74.199287
Lobodon carcinophaga,-33.748024,-74.339951
Lobodon carcinophaga,-33.748653,-74.345085
Lobodon carcinophaga,-34.448708,-74.283514
Lobodon carcinophaga,-34.427448,-74.157982
Lobodon carcinophaga,-37.294758,-74.178856
