date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_lon
Dec-99,1999,12,-68.268,76.15,-68.247,76.2,summer,weaning,1990,Central Indian,Antarctic,0,89.82183075,400.7018885,55.81913496,514.13336,-1092.8821,1.0069212,0.8077221,-1.7256775,-1.865631104,34.408466,34.54593277,-0.01920577,0.000932123,-0.016378157,0.00194265,0.654761905,948.9478463
Nov-98,1998,11,-68.268,76.75,-68.247,76.8,autumn,weaning,1990,Central Indian,Antarctic,0,89.85115814,401.3141299,70.21119522,530.13336,-208.00066,0.33364064,0.7996959,-1.8386841,-1.862243652,34.51669,34.52536774,-0.05634854,0.02688461,-0.13283727,-0.049977437,0.642857143,914.4426103
Dec-97,1997,12,-68.141,70.25,-68.162,70.3,summer,weaning,1990,Central Indian,Antarctic,0,89.31357574,379.4102761,146.5215474,285.13333,-8142.0415,0.08011782,0.12442491,-0.84661865,-1.855560303,33.981064,34.55857849,0.24706724,0.024105139,-0.11752674,-0.009088182,0.476190476,855.1378901
Dec-99,1999,12,-68.141,72.75,-68.162,72.8,summer,weaning,1990,East Indian,Antarctic,0,89.8146286,389.1725384,45.33336987,717.01666,-2176.2737,0.7751983,0.66852623,-1.589325,-1.86505127,34.308903,34.54368973,0.020807415,0.012217172,-0.053201605,-0.007928554,0.630952381,870.8927616
Dec-97,1997,12,-68.141,73.65,-68.162,73.7,summer,weaning,1990,Central Indian,Antarctic,0,89.84810638,383.4418736,18.60844254,622.4,-5642.5024,0.3227613,0.4671025,-1.1705627,-1.862640381,34.32411,34.5690155,0.000657465,0.000760628,-0.086291306,-0.013249739,0.607142857,910.4217261
Dec-99,1999,12,-68.141,74.25,-68.162,74.3,summer,weaning,1990,East Indian,Antarctic,0,89.83805084,381.8990794,18.60844254,569.63336,-1266.526,0.83376575,0.79522556,-1.7029724,-1.864135742,34.376183,34.53648376,0.009899766,0.011802078,-0.056945007,-0.018596984,0.666666667,900.9960265
Nov-98,1998,11,-68.141,75.25,-68.162,75.3,autumn,weaning,1990,Central Indian,Antarctic,0,89.6971283,382.4397698,19.95139752,521.26666,-50.043083,0.5036836,0.9551187,-1.8587952,-1.863372803,34.53508,34.53913879,-0.026981978,0.026264375,-0.09486565,-0.022130854,0.654761905,897.7796753
Dec-99,1999,12,-68.141,76.25,-68.162,76.3,summer,weaning,1990,East Indian,Antarctic,0,89.77446747,387.2491809,48.26100345,478.93332,-1219.1755,1.0107633,0.79884124,-1.7089233,-1.865722656,34.38174,34.55079269,-0.029330367,0.000333542,-0.017990412,-0.002190676,0.654761905,937.3036631
Dec-99,1999,12,-68.141,76.35,-68.162,76.4,summer,weaning,1990,Central Indian,Subantarctic,0,89.85203552,387.2237242,49.86092058,478.9,-1216.516,1.0119395,0.7996135,-1.709259,-1.865631104,34.38242,34.55051422,-0.03517411,-0.003829332,-0.015190721,0.000918627,0.654761905,938.8329237
Dec-99,1999,12,-68.141,76.35,-68.162,76.4,summer,weaning,1990,East Indian,Antarctic,0,89.85203552,387.2237242,49.86092058,478.9,-1216.516,1.0119395,0.7996135,-1.709259,-1.865631104,34.38242,34.55051422,-0.03517411,-0.003829332,-0.015190721,0.000918627,0.654761905,938.8329237
