event_date,date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,dist_ice_edge_km,lt_pack_ice
2004-02-19T00:00:00Z,2004-02,2004,2,-77.687,166.35,-77.708,166.3,summer,moulting,2000,West Pacific,Antarctic,1,89.98046875,606.0139209402506,32.15539115038066,176.03334045410156,-11441.645,0.0009916418,0.012192207,-0.3984375,-1.389678955078125,33.180775,34.552127838134766,0.070645384,-0.009019531309604645,-0.045609895,0.0028393296524882317,775.6346421105527,0.7023809523809523
2014-01-13T14:51:22Z,2014-01,2014,1,-76.842,-36.05,-76.864,-36.1,summer,moulting,2010,Atlantic,Antarctic,1,89.72994232177734,383.20289114119663,41.99868792095232,1064.3204345703125,-37128.727,0.0005003627,0.0003261533,2.801361,-1.864105224609375,34.04649,34.5694694519043,-0.008134199,-0.008720695041120052,0.013138895,-0.00400365237146616,1280.8611808758812,0.6904761904761905
2000-01-06T00:00:00Z,2000-01,2000,1,-76.758,-157.25,-76.779,-157.3,summer,moulting,2000,West Pacific,Antarctic,1,89.94317626953125,113.7703612219917,4.724271511913243,612.1814575195312,-11849.36,0.27638263,0.10763471,-0.3701172,1.146728515625,33.4104,34.672157287597656,-0.047661528,-0.0010608923621475697,-0.025336027,-0.001698925974778831,445.92832769468566,0.7142857142857143
2000-01-06T00:00:00Z,2000-01,2000,1,-76.758,-156.85,-76.779,-156.8,summer,moulting,2000,West Pacific,Antarctic,1,89.89766693115234,113.27868792531848,2.641858496225175,656.0999755859375,-11528.459,0.3052474,0.12358765,-0.40481567,1.145599365234375,33.32945,34.68437576293945,-0.016419323,-0.0005880868993699551,-0.04313172,-0.0064191678538918495,454.55215094392156,0.7142857142857143
2020-02-02T00:00:00Z,2020-02,2020,2,-76.378,163.95,-76.357,163.9,summer,moulting,2020,West Pacific,Antarctic,1,89.87124633789062,603.3106319549141,21.026711790952035,519.2666625976562,-26964.873,0.0006022069,0.00038736215,1.4230652,-1.873321533203125,34.118916,34.83436965942383,0.20827301,0.03214104101061821,-0.074038,0.0015613421564921737,666.9458714829109,0.7857142857142857
2000-01-03T00:00:00Z,2000-01,2000,1,-75.702,-157.95,-75.723,-158.0,summer,moulting,2000,West Pacific,Antarctic,1,89.95100402832031,6.714081770371992,80.12945136035219,3510.2666015625,-5503.9116,1.036543,0.36679015,-1.1347351,0.32904052734375,33.324062,34.69514083862305,0.010228558,-0.0015748568112030625,-0.032907583,-0.001716173137538135,475.6311589763455,0.7380952380952381
2014-01-04T13:21:15Z,2014-01,2014,1,-75.237,-28.85,-75.258,-28.8,summer,moulting,2010,Atlantic,Antarctic,1,89.59322357177734,181.7597363049709,36.425994210321946,410.8958435058594,-36301.516,0.042186912,0.019629288,2.9128418,-1.76318359375,33.48795,34.35777282714844,-0.004450762,0.0036175407003611326,0.017928986,-0.0022285119630396366,1029.2164416122198,0.6190476190476191
2014-01-04T13:22:16Z,2014-01,2014,1,-75.237,-28.85,-75.216,-28.8,summer,moulting,2010,Atlantic,Antarctic,1,89.59322357177734,181.7597363049709,36.425994210321946,410.8958435058594,-36301.516,0.042186912,0.019629288,2.9128418,-1.76318359375,33.48795,34.35777282714844,-0.008521019,0.003846559440717101,0.023655836,0.0023582952562719584,1029.2164416122198,0.6190476190476191
2014-01-25T14:11:02Z,2014-01,2014,1,-75.195,-29.75,-75.174,-29.7,summer,moulting,2010,Atlantic,Antarctic,1,88.75067901611328,178.94135149611253,50.91294901807061,399.3833312988281,-29398.854,0.14272627,0.066301025,2.2235413,-1.786651611328125,32.76205,34.346004486083984,-0.0034824589,-7.596139312227024e-06,0.025635,0.00013839645544067025,1036.3256110710076,0.6190476190476191
2014-01-25T14:12:18Z,2014-01,2014,1,-75.195,-29.75,-75.216,-29.8,summer,moulting,2010,Atlantic,Antarctic,1,88.75067901611328,178.94135149611253,50.91294901807061,399.3833312988281,-29398.854,0.14272627,0.066301025,2.2235413,-1.786651611328125,32.76205,34.346004486083984,-0.011086982,-0.00045300432248041034,0.021519626,-0.0012791820336133242,1036.3256110710076,0.6190476190476191
2014-01-04T13:23:46Z,2014-01,2014,1,-75.195,-28.85,-75.216,-28.8,summer,moulting,2010,Atlantic,Antarctic,1,89.66304779052734,177.18542959509676,40.24448038911528,401.75,-37071.484,0.041278437,0.01926876,3.018982,-1.751739501953125,33.500214,34.35564041137695,-0.008521019,0.003846559440717101,0.023655836,0.0023582952562719584,1024.9682058646206,0.6190476190476191
2014-01-04T13:24:44Z,2014-01,2014,1,-75.195,-28.75,-75.174,-28.8,summer,moulting,2010,Atlantic,Antarctic,1,89.68733978271484,176.55647556486053,38.74175453228332,419.1833190917969,-37803.094,0.028454963,0.013480228,3.0484009,-1.755523681640625,33.543583,34.355037689208984,-0.0075786305,0.002411778550595045,0.03461654,0.002542586997151375,1023.7592995695338,0.6190476190476191
2000-02-05T00:00:00Z,2000-02,2000,2,-75.153,-156.55,-75.132,-156.5,summer,moulting,2000,West Pacific,Antarctic,1,89.92838287353516,57.777947311107766,138.48195951567087,3649.89990234375,-3895.1367,0.7101106,0.37377882,-1.3180542,0.2630615234375,33.1203,34.69243240356445,-0.01657948,-0.0008025704300962389,-0.055733852,-0.015162256546318531,364.5659620379403,0.7261904761904762
