date_time,latitude,longitude,number_individuals,year,month,decade,scientific_name
1998-01-03T11:39:58Z,-70.598,-9.421,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:40:04Z,-70.595,-9.427,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:40:08Z,-70.593,-9.43,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:40:47Z,-70.572,-9.465,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:45:26Z,-70.424,-9.711,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:47:04Z,-70.37,-9.796,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:47:46Z,-70.348,-9.832,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:47:52Z,-70.345,-9.839,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:48:38Z,-70.32,-9.88,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:58:25Z,-69.992,-10.398,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:58:26Z,-69.992,-10.398,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T11:59:57Z,-69.941,-10.484,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T12:02:07Z,-69.868,-10.601,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T12:02:55Z,-69.841,-10.642,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T12:03:19Z,-69.827,-10.662,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T12:04:28Z,-69.788,-10.721,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:07:04Z,-69.05,-12.009,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:24:02Z,-69.548,-11.292,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:26:48Z,-69.632,-11.168,3,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:28:02Z,-69.671,-11.112,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:47:16Z,-70.242,-10.242,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:52:10Z,-70.38,-10.033,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:53:31Z,-70.418,-9.969,1,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:57:03Z,-70.522,-9.808,2,1998,1,1990,Lobodon carcinophaga
1998-01-03T14:57:39Z,-70.54,-9.779,1,1998,1,1990,Lobodon carcinophaga
1998-01-22T11:04:27Z,-71.125,-12.415,2,1998,1,1990,Lobodon carcinophaga
1998-01-22T11:18:59Z,-70.757,-13.179,1,1998,1,1990,Lobodon carcinophaga
1998-01-22T11:22:47Z,-70.637,-13.346,1,1998,1,1990,Lobodon carcinophaga
1998-01-22T11:22:50Z,-70.636,-13.349,1,1998,1,1990,Lobodon carcinophaga
1998-01-22T11:39:16Z,-70.102,-14.094,1,1998,1,1990,Lobodon carcinophaga
