date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,SIT_m,SST_degC,bottom_temp_degC,SSS_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_km
Nov-87,1987,11,-65.86,49.35,-65.839,49.4,autumn,weaning,1980,Central Indian,Antarctic,0,89.97190857,197.0757903,62.35576875,2713.55,0.9165084,-1.8320618,-0.462493896,34.37227,-0.105019525,-0.040567208,-0.10608833,-0.017909855,0.571428571,430.9617286
Nov-98,1998,11,-65.86,55.35,-65.839,55.4,autumn,weaning,1990,Central Indian,Antarctic,0,89.91101837,252.2790575,136.8501194,355.11667,1.5308548,-1.8158264,-1.870544434,34.445023,0.06584754,0.052288607,-0.15048216,0.025148364,0.511904762,588.883105
Nov-96,1996,11,-65.86,64.65,-65.839,64.7,autumn,weaning,1990,Central Indian,Antarctic,0,89.92794037,139.0241418,30.81078052,3147.05,0.9309847,-1.7174683,-0.478302002,34.288532,-0.010511404,-0.012925419,-0.067414366,0.008967191,0.630952381,527.3091823
Nov-98,1998,11,-65.86,68.35,-65.839,68.4,autumn,weaning,1990,Central Indian,Antarctic,0,89.89774323,113.4115351,3.331121264,2656,0.9646365,-1.8168945,-0.250640869,34.388733,-0.008885821,-0.023488628,-0.092686735,-0.008448949,0.642857143,630.061692
Nov-89,1989,11,-65.86,70.45,-65.839,70.5,autumn,weaning,1980,Central Indian,Subantarctic,0,89.91919708,144.4518626,36.42656791,2622.8833,1.56584,-1.8187256,-0.290466309,34.2951,0.014618511,0.007786491,-0.077267386,-0.007953444,0.642857143,694.7166535
Nov-96,1996,11,-65.86,73.05,-65.839,73.1,autumn,weaning,1990,Central Indian,Antarctic,0,89.95401764,143.7415209,91.71256391,2733.55,0.7772997,-1.8207397,-0.180023193,34.311134,0.005080392,-0.003963438,-0.097991176,0.005318333,0.642857143,585.9317955
Dec-97,1997,12,-65.86,73.45,-65.839,73.5,summer,weaning,1990,Central Indian,Antarctic,0,89.90566254,136.3366127,97.63745553,2791.9333,0.35160726,-1.3423767,-0.196502686,33.973255,-0.028071677,0.003605862,-0.07231963,-0.006670087,0.642857143,664.8107789
Dec-97,1997,12,-65.86,74.25,-65.839,74.3,summer,weaning,1990,Central Indian,Antarctic,0,89.96312714,128.5053917,116.1105415,2697.1333,0.321006,-1.3246155,-0.190612793,34.010563,-0.024252148,0.004352857,-0.06811392,-0.017351504,0.642857143,677.7215101
Dec-99,1999,12,-65.86,74.85,-65.839,74.9,summer,weaning,1990,Central Indian,Antarctic,0,89.78068542,128.2529559,129.719595,2969.6,0.59870195,-1.4266968,-0.191925049,33.99509,-0.008879498,0.003003888,-0.03441669,-0.003904595,0.619047619,679.484688
Dec-99,1999,12,-65.86,74.95,-65.839,75,summer,weaning,1990,East Indian,Antarctic,0,89.85090637,128.5053917,132.3787203,3013.75,0.6383785,-1.4195251,-0.194976807,33.98842,-0.002440721,0.005531405,-0.036560506,-0.006611911,0.619047619,681.2802077
Dec-99,1999,12,-65.86,75.35,-65.839,75.4,summer,weaning,1990,East Indian,Antarctic,0,89.95597839,131.1677948,142.9333013,3091.4333,0.81465673,-1.4346313,-0.216247559,33.979843,-0.011129936,0.004824841,-0.045225646,-0.017026756,0.619047619,688.7804885
Nov-98,1998,11,-65.86,75.45,-65.839,75.5,autumn,weaning,1990,Central Indian,Antarctic,0,89.96107483,132.234075,139.4579279,3102.7876,0.9646431,-1.8086853,-0.212432861,34.21454,-0.015223173,0.001977468,-0.09575115,-0.03675976,0.630952381,646.4113156
Dec-99,1999,12,-65.86,75.55,-65.839,75.6,summer,weaning,1990,Central Indian,Antarctic,0,89.96698761,133.4538053,136.0409396,3149.5166,0.89508367,-1.4460754,-0.218597412,33.979195,-0.016998343,0.001326397,-0.045500148,-0.01785811,0.619047619,692.7178541
Dec-97,1997,12,-65.86,76.05,-65.839,76.1,summer,weaning,1990,Central Indian,Antarctic,0,89.91373444,134.3234905,118.9189007,3041.7834,0.49637228,-1.326477,-0.197174072,33.927853,-0.03277956,-0.006744291,-0.08433405,-0.024557102,0.619047619,714.1908819
Dec-99,1999,12,-65.86,76.15,-65.839,76.2,summer,weaning,1990,East Indian,Antarctic,0,89.9249115,133.9200506,115.4958895,3035.0667,1.1062334,-1.4594421,-0.204681396,33.97265,-0.021587359,-8.49101e-4,-0.042846777,-0.01151386,0.630952381,705.2531137
Nov-87,1987,11,-65.86,76.25,-65.839,76.3,autumn,weaning,1980,Central Indian,Antarctic,0,89.93583679,133.6774019,112.0423352,3043.0833,0.7149244,-1.7896729,-0.443481445,34.26679,-0.025811784,-0.014224218,-0.049530514,-0.042474523,0.630952381,632.4590668
Dec-99,1999,12,-65.86,76.45,-65.839,76.5,summer,weaning,1990,East Indian,Antarctic,0,89.94690704,133.596421,105.1735244,2998.55,1.1300633,-1.4564514,-0.193725586,33.98195,-0.023166317,-0.004837953,-0.045287848,-0.012083667,0.642857143,711.8903225
Dec-99,1999,12,-65.86,76.45,-65.839,76.5,summer,weaning,1990,Central Indian,Subantarctic,0,89.94690704,133.596421,105.1735244,2998.55,1.1300633,-1.4564514,-0.193725586,33.98195,-0.023166317,-0.004837953,-0.045287848,-0.012083667,0.642857143,711.8903225
Dec-99,1999,12,-65.86,77.05,-65.839,77.1,summer,weaning,1990,East Indian,Antarctic,0,89.92063904,133.596421,86.1818112,2880.15,1.0094995,-1.4108276,-0.183563232,33.990475000000004,-0.013278999,0.001803576,-0.034224972,-0.007858188,0.607142857,720.1152269
Nov-84,1984,11,-65.86,77.15,-65.839,77.2,autumn,weaning,1980,Central Indian,Antarctic,0,89.92330933,133.596421,83.44410673,2908.4834,0.58958286,-1.6969604,-0.219909668,34.294132,-0.02628199,-1.23208e-4,-0.058277152,-8.73325e-4,0.619047619,793.8109907
Dec-99,1999,12,-65.86,77.15,-65.839,77.2,summer,weaning,1990,East Indian,Antarctic,0,89.92330933,133.596421,83.44410673,2908.4834,0.97593623,-1.3919983,-0.186126709,33.98618,-0.011148627,0.004188134,-0.03324997,-0.007749943,0.607142857,721.5528232
Dec-99,1999,12,-65.86,77.75,-65.839,77.8,summer,weaning,1990,East Indian,Antarctic,0,89.71591187,135.6064269,63.82985001,3029.4333,0.8008704,-1.2817993,-0.214294434,33.96408,-0.008134137,0.013895174,-0.024649886,-0.006788267,0.595238095,730.8533976
Dec-97,1997,12,-65.86,77.75,-65.839,77.8,summer,weaning,1990,Central Indian,Antarctic,0,89.71591187,135.6064269,63.82985001,3029.4333,0.908611,-1.5591431,-0.207519531,33.970123,-0.015734382,0.019974323,-0.0596812,-0.01050433,0.607142857,684.4739145
Dec-97,1997,12,-65.86,77.85,-65.839,77.9,summer,weaning,1990,Central Indian,Antarctic,0,89.90568542,136.4814453,60.38297386,3061.9167,0.99057525,-1.5696716,-0.210479736,33.9585,-0.021568622,0.018867426,-0.058091406,-0.005953106,0.607142857,680.6288602
