gbifID,bibliographicCitation,identifier,license,modified,type,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordedBy,individualCount,lifeStage,occurrenceStatus,eventDate,eventTime,year,month,day,waterBody,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificNameID,taxonConceptID,scientificName,kingdom,phylum,class,order,family,genus,genericName,specificEpithet,taxonRank,vernacularName,taxonomicStatus,datasetKey,publishingCountry,lastInterpreted,depth,depthAccuracy,issue,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,protocol,lastParsed,lastCrawled,repatriated,iucnRedListCategory,.val,.equ,.zer,.cap,.cen,.otl,.gbf,.inst,.summary
2028090895,http://data.aad.gov.au/metadata/records/APIS,b22d37e2-147b-4c62-a919-0fd3328f7d54,CC_BY_4_0,2006-09-06T14:42:50Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},b22d37e2-147b-4c62-a919-0fd3328f7d54,APIS-16209,NA,5,Adult,PRESENT,1999-12-25T07:48:33Z,1999-12-25T07:48:33Z,1999,12,25,Southern Ocean,AQ,-63.52705,81.340263,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090894,http://data.aad.gov.au/metadata/records/APIS,bddd7614-30cf-4bc9-ae37-0a751d626e08,CC_BY_4_0,2006-09-06T14:42:50Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},bddd7614-30cf-4bc9-ae37-0a751d626e08,APIS-16208,NA,1,Adult,PRESENT,1999-12-25T07:48:18Z,1999-12-25T07:48:18Z,1999,12,25,Southern Ocean,AQ,-63.526451,81.341637,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:22Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:22Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090893,http://data.aad.gov.au/metadata/records/APIS,2243682c-24a3-4937-b910-c260c383a36a,CC_BY_4_0,2006-09-06T14:42:50Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},2243682c-24a3-4937-b910-c260c383a36a,APIS-16206,NA,1,Adult,PRESENT,1999-12-25T07:47:48Z,1999-12-25T07:47:48Z,1999,12,25,Southern Ocean,AQ,-63.525879,81.342949,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090892,http://data.aad.gov.au/metadata/records/APIS,3c0ce960-f195-4ff1-bd7f-f19a230f7740,CC_BY_4_0,2006-09-06T14:42:49Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},3c0ce960-f195-4ff1-bd7f-f19a230f7740,APIS-16202,NA,1,Adult,PRESENT,1999-12-25T07:45:09Z,1999-12-25T07:45:09Z,1999,12,25,Southern Ocean,AQ,-63.521599,81.352852,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090891,http://data.aad.gov.au/metadata/records/APIS,38abb3e0-401a-4bc6-9fca-6f55ecad4b4d,CC_BY_4_0,2006-09-06T14:42:48Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},38abb3e0-401a-4bc6-9fca-6f55ecad4b4d,APIS-16191,NA,1,Adult,PRESENT,1999-12-25T07:32:51Z,1999-12-25T07:32:51Z,1999,12,25,Southern Ocean,AQ,-63.503029,81.393448,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:22Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:22Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090890,http://data.aad.gov.au/metadata/records/APIS,23dc4bf3-493b-4956-b869-f1e10b8bebd1,CC_BY_4_0,2006-09-06T14:42:46Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},23dc4bf3-493b-4956-b869-f1e10b8bebd1,APIS-16182,NA,1,Adult,PRESENT,1999-12-25T06:24:05Z,1999-12-25T06:24:05Z,1999,12,25,Southern Ocean,AQ,-63.399883,81.630669,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090889,http://data.aad.gov.au/metadata/records/APIS,87da3521-1e56-4001-b53c-2f82152759c3,CC_BY_4_0,2006-09-06T14:42:47Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},87da3521-1e56-4001-b53c-2f82152759c3,APIS-16184,NA,1,Adult,PRESENT,1999-12-25T07:24:14Z,1999-12-25T07:24:14Z,1999,12,25,Southern Ocean,AQ,-63.489368,81.419769,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090888,http://data.aad.gov.au/metadata/records/APIS,3dd67d41-8a04-4b79-a177-40f56d6c43c5,CC_BY_4_0,2006-09-06T14:42:50Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},3dd67d41-8a04-4b79-a177-40f56d6c43c5,APIS-16205,NA,1,Adult,PRESENT,1999-12-25T07:47:37Z,1999-12-25T07:47:37Z,1999,12,25,Southern Ocean,AQ,-63.525299,81.344368,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090887,http://data.aad.gov.au/metadata/records/APIS,fe8098dd-dc68-4748-a74f-d082369693ec,CC_BY_4_0,2006-09-06T14:42:47Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},fe8098dd-dc68-4748-a74f-d082369693ec,APIS-16189,NA,3,Adult,PRESENT,1999-12-25T07:31:26Z,1999-12-25T07:31:26Z,1999,12,25,Southern Ocean,AQ,-63.500465,81.394699,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:22Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:22Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2028090886,http://data.aad.gov.au/metadata/records/APIS,c4f894ea-7f30-4dd8-8f22-5c2e21f47d53,CC_BY_4_0,2006-09-06T14:42:50Z,Event,AADC,APIS,HUMAN_OBSERVATION,{class:Mammalia},c4f894ea-7f30-4dd8-8f22-5c2e21f47d53,APIS-16207,NA,1,Adult,PRESENT,1999-12-25T07:47:52Z,1999-12-25T07:47:52Z,1999,12,25,Southern Ocean,AQ,-63.525883,81.342949,5000,http://www.marinespecies.org/aphia.php?p=taxdetails&id=231416,urn:lsid:biodiversity.org.au:afd.taxon:274e9261-bda1-41e4-a38f-c5e4046fdbab,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon,carcinophaga,SPECIES,Crab-eater Seal,ACCEPTED,82ec8f46-f762-11e1-a439-00145eb45e9a,AU,2023-01-25T07:00:23Z,0,0,NA,TRUE,FALSE,2434762,2434762,1,44,359,732,5310,2434761,2434762,Lobodon carcinophaga,"Lobodon carcinophaga (Hombron & Jacquinot, 1842)",Lobodon carcinophaga,DWC_ARCHIVE,2023-01-25T07:00:23Z,2022-02-15T20:12:54Z,TRUE,LC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
